@title "G(tau), dT = 100000.000000"
1.000000000e-07 1.386145478e+01
2.000000000e-07 1.386009051e+01
3.000000000e-07 1.388552151e+01
4.000000000e-07 1.382597674e+01
6.000000000e-07 1.380005042e+01
8.000000000e-07 1.375613652e+01
1.000000000e-06 1.377561331e+01
1.200000000e-06 1.378814318e+01
1.600000000e-06 1.366136297e+01
2.000000000e-06 1.361236350e+01
2.400000000e-06 1.363519028e+01
2.800000000e-06 1.348583251e+01
3.600000000e-06 1.348881209e+01
4.400000000e-06 1.340309425e+01
5.200000000e-06 1.325758317e+01
6.000000000e-06 1.321478739e+01
7.600000000e-06 1.300774848e+01
9.200000000e-06 1.281187417e+01
1.080000000e-05 1.263014171e+01
1.240000000e-05 1.254889168e+01
1.560000000e-05 1.221036082e+01
1.880000000e-05 1.200568236e+01
2.200000000e-05 1.167670278e+01
2.520000000e-05 1.140677193e+01
3.160000000e-05 1.096677185e+01
3.800000000e-05 1.049774220e+01
4.440000000e-05 1.005401823e+01
5.080000000e-05 9.653091575e+00
6.360000000e-05 8.920829350e+00
7.640000000e-05 8.352314792e+00
8.920000000e-05 7.771888099e+00
1.020000000e-04 7.253982023e+00
1.276000000e-04 6.460690170e+00
1.532000000e-04 5.821343701e+00
1.788000000e-04 5.306295441e+00
2.044000000e-04 4.925719998e+00
2.556000000e-04 4.148057633e+00
3.068000000e-04 3.516397749e+00
3.580000000e-04 3.200336341e+00
4.092000000e-04 2.821244781e+00
5.116000000e-04 2.289580878e+00
6.140000000e-04 1.969182051e+00
7.164000000e-04 1.724080579e+00
8.188000000e-04 1.501798411e+00
1.023600000e-03 1.083138976e+00
1.228400000e-03 9.404051433e-01
1.433200000e-03 7.581997018e-01
1.638000000e-03 7.351904692e-01
2.047600000e-03 5.846715953e-01
2.457200000e-03 4.766988765e-01
2.866800000e-03 3.801278079e-01
3.276400000e-03 2.472939101e-01
4.095600000e-03 1.039765204e-01
4.914800000e-03 -1.182119060e-02
5.734000000e-03 1.233404658e-01
6.553200000e-03 3.756796930e-02
8.191600000e-03 4.110945753e-03
9.830000000e-03 -2.271394070e-03
1.146840000e-02 6.146836620e-02
1.310680000e-02 1.728868777e-01
1.638360000e-02 -7.302170848e-02
1.966040000e-02 -8.521802629e-03
2.293720000e-02 -7.130260438e-02
2.621400000e-02 7.072585714e-02
3.276760000e-02 -9.718592800e-02
3.932120000e-02 3.541911669e-02
4.587480000e-02 -6.474911879e-02
5.242840000e-02 1.112509917e-01
6.553560000e-02 5.688366364e-02
7.864280000e-02 5.175831735e-02
9.175000000e-02 1.099175272e-01
1.048572000e-01 9.312275439e-02
1.310716000e-01 7.923085911e-03
1.572860000e-01 -6.372579658e-02
1.835004000e-01 3.563577023e-02
2.097148000e-01 -1.557701048e-01
2.621436000e-01 -1.025710657e-01
3.145724000e-01 -2.395575632e-02
3.670012000e-01 -1.332676442e-01
4.194300000e-01 -1.389194041e-01
